mấy bạn này nói đúng suy nghĩ mình vl	
🤭🤭🤭🤭Đúng...nghèo lại đổ cho cơ chế...vớ vỉn	
Nó nói đúng mà, cái viẹc học rồi điểm số trong trường lớp chả nói lên dc cái mẹ gì cả	
Những người có học cư sử và kiếm tiền bằng cái đầu, hotgirl vô học kiếm tiền bằng vốn.....	
Thật ra mình thích Linh Ka hơn :))	
Cho nên không lạ gì mà bây giờ có nhiều người tiền nhiều mà nói ngọng, viết chính tả sai be bét.	
Ai mà đồng tình với mấy con não ngắn này cũng ạ luôn. Đúng rằng việc học ko phải là con đường duy nhất dẫn đến thành công. Nhưng học vấn luôn là con đường dẫn người ta tới những hướng đi tốt cho cuộc sống. Học dốt mà kiếm tiền giỏi thì hay đó, nhưng được mấy người? Và đừng bao giờ cỗ suý cho việc học dốt nhưng chỉ cần kiếm tiền nhiều là hay. Vì sẽ có nhiều người ko theo đuổi con đường học vấn hay nghề nghiệp chân chính mà sẽ chạy theo làm những việc không chân chính, bất chấp thủ đoạn để kiếm tiền. Vậy xã hội này sẽ phát triển kiểu gì?. Mấy con nhỏ này ngoài việc làm trò mua vui cho thiên hạ để kiếm được nhiều tiền. Chứ có đóng góp gì tốt đẹp cho xã hội hay đất nước này ko?. Nhưng những người có học vấn giỏi sẽ là tương lai cho xã hội cho đất nước. Không học thì lấy đâu ra bác sĩ, kĩ sư, chuyên viên trong nhiều lĩnh vực để phục vụ và đóng góp cho xã hội này phát triển. Hay càng nhiều những người như Khá Bảnh, Đường Nhuệ, 5 Cam v.v thì đất nước này càng giàu mạnh. Đừng bao giờ dùng đồng tiền là thước đo giá trị của một con người. Tiền nhiều thì giàu nhưng nếu dốt thì tiền nhiều cũng chỉ làm giàu chứ ko có sang. Dốt thì dạy con cái sau này kiểu gì? Hay dạy nó là kiếm tiền thôi ko cần phải học. Hãy làm một chiếc điện thoại Smartphone chứ đừng làm chiếc điện thoại Vertu. Vì Vertu có đắt tiền, nhưng nếu chỉ để nghe và gọi thôi thì cũng đến lúc người ta cũng ko cần ngó ngàng tới nữa. Và nó đã bị khai tử rồi đó. Mấy con này cũng vậy.	
"Linh K nó nói đúng vụ
Mua điểm vào ĐẠI HỌC mà"	
Con nguoi sông phai co nhân cach đao đuc lê nghia sông co chiêu sâu nguoi moi co gia tri.chu lam ra tiên nhiêu ma bên trong rông tet thi ko ai tôn trong đâu	
Vũ Nguyễn trang của hiếu lợn ak	
Thế bị bệnh không có người 30 điểm chữa cho thì nhe răng đấy, 	
Con Thanh Tâm chung thằng quản lý vs Linh Ka mà, cùng 1 chiêu trò thôi	
các chị phát ngôn vì các chị có loz dạng ra , tiền nhiều cần gì học hành , nên coi thường việc học mà 	
Nhưng t vấn thích linh ka nhất trong cả 3. Mọi người có thể quên nhưng mà ẻm là nhà tiên tri vũ trụ. Tiên đoán ra vụ án rúng động cả đât nước VN này đấy	
cơ bản vì tụi nó ko học nổi nên nói vậy, ông trời ko cho ai tất cả, hehe, cũng tội nghiệp. 	
Mỗi ngày ngủ mấy một thằng thì cần gì phải học bố tổ nhà mày loại súc vật vô học sủa nhiều ức chế	
Các cô này giàu vì kiếm tiền  bằng vốn tự có cần gì phải học.Cả 2 đầu cùng rỗng	
Thường mấy đứa học dốt mới phát ngôn coi thường việc học. 	
Học cho lắm giống như Bùi hiền với con mẹ ts cả đám quần chúng không biết gì là cũng xong luôn	
Đây cũng là câu nói truyền thống của bố mẹ t mà t k biết nói ntn cho phải 	
các bác học ng ta vô học như bọn này chắc chết hết vì ai là ng nghĩ ra vacxin. thuốc. điện, ô tô.xe máy.iphone cho chúng nó xài	1
.	
Ai cũng nghĩ theo hướng tích cực mà ko nghĩ thử thật tế thì nó tiêu cực vkl :)	
Đ hiểu cái định nghĩa hot girl bh =))) Hoàng Phương nhỉ	
.	
Liệu cô có chắc sau này cô có theo kịp thời đại k khi mà thiếu kiến thức, phong độ là nhất thời đẳng cấp là mãi mãi, ok???	
Kệ mấy bạn, tui học kệ tui? 	
Phát ngôn của mấy con nhãi ranh làm cave đây mà. Ức quá.	1
Nó nói theo những gi nó cho là đúng mà...trời ban cho nó nhang sắc nhưng lấy đi của nó cái não...không não thì nghĩ được vậy là vui rồi...	
Thực sự học giỏi  h ko bằng kiếm nhiều tiền là sự thật nhưng h tôi vẫn bắt con tôi phải học	
Bắt chước phát ngôn của Ngọc Trinh mà	
Ai công nhận là Hotgirl vậy trời , thấy chạy mất dép	
Mặt người mà óc đất.	
Dốt đẹp  tien 0 đó  bạn  như....May.con cầu đai gia	
Có phải mấy em nằm trong đường dây gái gọi của mấy thằng đại gia ko?	
Cai loai vô hoc nay ban lô nuoi miêng	
Hot girl chỉ có đời đầu kiểu Midu, Sam... là vừa đẹp vừa tri thức. Còn đám cuối 9x đầu 2k thì thôi. Hẹn em ở TDH	
Các em có biết có học và vô học nó khác chổ nào không , là bọn em không có não mà lũ có học thì 1 đầu trí thức đấy lũ vô não	
Phát biểu thiếu suy nghĩ !	
"Nói thì sai bét. 
Nhưng đọc thấy đúng. Nghĩ ngợi càng đúng hơn..
 Nhưng m đi sai bét con đường rồi"	
Tóm lại là cv	
"Các em này xem nhẹ việc học 
Hãy xem lại đạo Đức và nhân cách làm người 
Các em ơi có nhiều việc không phải có tiền là mua được đâu 
Hãy cần trọng phát ngôn của mình sẽ giảm đi thiện cảm với cdm nhé OK
"	
Uh. tại mấy đứa đi học mấy chục điểm không có làm ở ngân hàng Hai Hang Bank ah nên lương thấp	
Chị lấy 1 áo màu xanh lam  0919034897	
thế thì đi làm phò hết đi ... tháng cũng chục triệu đấy... 	
Nhung July con trứng rán xấu nhất🤣	
	
Suy nghĩ như thế này thì ko hiểu bố mẹ các em dạy các em như thế nào nhỉ, dù các em có kiếm tiền nhiều như thế nào, nhưng suy nghĩ của các em đúng ko khác gì đầu to mà óc bằng quả nho, nếu ko có kiến thức, ko có trình độ thì lấy đâu những bác sĩ giỏi cứu ng, lấy đâu ra những ng sáng chế ra điện thoại, tivi, máy tính, mấy cái app cho mấy em chỉnh sửa ảnh đây...	
Mấy con này kd vốn tự có mak	
Mọi người thông cảm cho em nó đi nó nó nói vội ko kịp suy nghĩ lên lỡ mồm nói thôi  giờ hậu quả đấy thây tội mà thôi kệ :((	
Do ba mẹ các bạn có tiền sẵn thì gáy kiểu đó chứ gia đình bình thường thì chỉ có học mới đổi đời. Hi vọng các em gái bị nghiệp quật sớm ở kiếp sau để éo có tiền nữa mà gáy. :))	
Nhiều hot girl thuộc thế hệ cuối 9x, đầu 10x vẫn còn ngồi trên ghế nhà trường và vẫn hằng ngày được truyền thụ kiến thức thông qua sách vở, thầy cô.	
Phát ngôn ntn vì đầu ốc rỗng toech chả có tý kiến thức tư duy nào ,, 😉	
Phát ngôn hay.đúng là loại ít chữ	
Nói đúng còn gì mà tự ái. 😔 giờ cầm tấm bằng dh còn phải làm công nhân đấy	
Nó nói đúng mà ...học thì mục đích cuối cùng là kiếm tiền ...chỉ có điều nói sai cách khó nghe thui....phải nói là điểm cao thì đh chẳng để làm gì khi ko kiếm ra được tiền	
Chuẩn! Rất hợp với Vi En( VN)	
Xí...Trần thanh tâm hot girl hở...😀	
Huỳnh Như thôi si nghĩ lại r, mai nghỉ học nhá	
có ngày răng rụng mõm sưng không biết vì sao...😂	
1,2,3 banh. 🤣🤣🤣	
